,machine_num,job_num,operation_num,begin_time,end_time,operation_time
0,1,4,1,0,9,9
0,1,24,1,9,145,136
0,1,15,1,145,315,170
0,1,3,1,315,331,16
0,1,12,1,331,369,38
0,1,9,1,369,405,36
0,1,25,1,405,618,213
0,1,1,1,618,626,8
0,1,12,2,626,702,76
0,1,3,2,702,712,10
0,1,4,2,712,721,9
0,1,9,2,721,831,110
0,1,15,2,831,975,144
0,1,16,1,975,1105,130
0,1,29,2,1165,1271,106
0,1,14,2,1271,1383,112
0,1,11,2,1383,1474,91
0,1,22,1,1474,1637,163
0,1,17,2,1637,1778,141
0,1,5,2,1778,1846,68
0,1,7,2,2009,2109,100
0,1,43,7,2115,2166,51
0,1,46,7,2845,2878,33
0,1,37,7,3434,3472,38
0,1,40,7,4215,4277,62
0,2,20,1,0,131,131
0,2,2,2,131,140,9
0,2,6,1,140,171,31
0,2,23,1,171,390,219
0,2,13,1,390,444,54
0,2,27,1,444,605,161
0,2,8,1,605,659,54
0,2,24,2,659,841,182
0,2,13,2,841,943,102
0,2,21,2,948,1034,86
0,2,6,2,1034,1089,55
0,2,14,1,1089,1221,132
0,2,19,2,1221,1438,217
0,2,5,1,1438,1460,22
0,2,18,1,1460,1639,179
0,2,22,2,1639,1728,89
0,2,27,2,1728,1863,135
0,2,25,2,1863,1980,117
0,3,2,3,140,525,385
0,3,12,3,702,863,161
0,3,9,3,863,1055,192
0,3,4,3,1055,1810,755
0,3,3,3,1810,2171,361
0,3,13,3,2171,2385,214
0,3,8,3,2385,2588,203
0,3,11,3,2588,2712,124
0,3,6,3,2712,2798,86
0,3,10,3,2798,2998,200
0,3,7,3,2998,3073,75
0,3,1,3,3073,3912,839
0,3,5,3,3912,4006,94
0,3,3,9,5054,5061,7
0,3,2,9,7070,7076,6
0,3,9,9,8147,8173,26
0,3,4,9,9889,9896,7
0,3,8,9,11097,11147,50
0,3,11,9,11911,11938,27
0,3,10,9,12893,12915,22
0,3,12,9,13841,13863,22
0,3,13,9,14766,14809,43
0,3,6,9,16139,16168,29
0,3,7,9,17805,17856,51
0,3,5,9,19615,19644,29
0,3,1,9,23941,23944,3
0,4,32,2,71,165,94
0,4,36,2,275,422,147
0,4,39,2,422,576,154
0,4,38,2,576,727,151
0,4,34,2,727,856,129
0,4,12,4,863,934,71
0,4,2,4,934,978,44
0,4,57,2,978,1039,61
0,4,30,2,1039,1152,113
0,4,43,2,1152,1237,85
0,4,9,4,1237,1384,147
0,4,54,2,1385,1533,148
0,4,35,2,1533,1667,134
0,4,55,2,1667,1730,63
0,4,48,2,1748,1868,120
0,4,42,2,1871,2005,134
0,4,4,4,2005,2038,33
0,4,56,2,2038,2103,65
0,4,3,4,2171,2210,39
0,4,51,2,2210,2369,159
0,4,37,2,2369,2499,130
0,4,46,2,2499,2568,69
0,4,45,2,2568,2719,151
0,4,50,2,2719,2836,117
0,4,8,4,2836,2931,95
0,4,47,2,2931,3027,96
0,4,44,2,3027,3147,120
0,4,49,2,3147,3299,152
0,4,33,2,3299,3390,91
0,4,13,4,3390,3537,147
0,4,6,4,3537,3710,173
0,4,31,2,3710,3836,126
0,4,11,4,3836,3992,156
0,4,40,2,3992,4116,124
0,4,7,4,4116,4186,70
0,4,10,4,4186,4316,130
0,4,52,2,4316,4462,146
0,4,53,2,4462,4605,143
0,4,5,4,4605,4712,107
0,4,1,4,4712,4728,16
0,4,41,2,4728,4832,104
0,5,26,3,780,1085,305
0,5,2,5,1085,1107,22
0,5,24,3,1107,1299,192
0,5,12,5,1299,1357,58
0,5,9,5,1384,1476,92
0,5,2,6,1476,2328,852
0,5,20,3,2328,2587,259
0,5,29,3,2587,2958,371
0,5,3,5,2958,2980,22
0,5,8,5,2980,3069,89
0,5,3,6,3069,3780,711
0,5,9,6,3780,4701,921
0,5,15,3,4701,4928,227
0,5,4,5,4928,4947,19
0,5,11,5,4947,5005,58
0,5,19,3,5005,5210,205
0,5,28,3,5210,5622,412
0,5,14,3,5622,5996,374
0,5,8,6,5996,6430,434
0,5,16,3,6430,6660,230
0,5,11,6,6660,7448,788
0,5,6,5,7448,7542,94
0,5,4,6,7542,8164,622
0,5,12,6,8164,8750,586
0,5,10,5,8750,8810,60
0,5,27,3,8810,9154,344
0,5,23,3,9154,9601,447
0,5,13,5,9601,9662,61
0,5,13,6,9662,10423,761
0,5,17,3,10423,10734,311
0,5,10,6,10734,11142,408
0,5,22,3,11142,11417,275
0,5,18,3,11417,11729,312
0,5,25,3,11729,11879,150
0,5,5,5,11879,11914,35
0,5,6,6,11914,12500,586
0,5,21,3,12500,12911,411
0,5,7,5,12911,12965,54
0,5,1,5,12965,12980,15
0,5,5,6,12980,13333,353
0,5,7,6,13333,14157,824
0,5,1,6,14157,14602,445
0,6,102,5,826,1333,507
0,6,91,5,1535,1918,383
0,6,103,5,2029,2300,271
0,6,2,7,2328,3133,805
0,6,88,5,3133,3659,526
0,6,3,7,3780,4239,459
0,6,112,5,4239,4624,385
0,6,9,7,4701,5171,470
0,6,101,5,5171,5744,573
0,6,94,5,5744,6389,645
0,6,8,7,6430,6964,534
0,6,86,5,6964,7407,443
0,6,11,7,7448,8199,751
0,6,4,7,8199,8875,676
0,6,12,7,8875,9355,480
0,6,104,5,9355,10010,655
0,6,105,5,10010,10664,654
0,6,87,5,10664,11077,413
0,6,10,7,11142,12134,992
0,6,13,7,12134,13102,968
0,6,6,7,13102,13462,360
0,6,110,5,13462,14094,632
0,6,92,5,14094,14594,500
0,6,111,5,14594,15147,553
0,6,7,7,15147,16098,951
0,6,5,7,16098,16766,668
