,machine_num,job_num,operation_num,begin_time,end_time,operation_time
0,1,23,1,0,234,234
0,1,3,1,234,249,15
0,1,23,2,249,475,226
0,1,2,1,475,492,17
0,1,29,1,492,653,161
0,1,19,1,653,822,169
0,1,2,2,822,835,13
0,1,9,1,835,873,38
0,1,28,1,873,1001,128
0,1,13,1,1001,1047,46
0,1,18,2,1047,1137,90
0,1,9,2,1137,1255,118
0,1,10,2,1255,1310,55
0,1,17,1,1310,1495,185
0,1,27,2,1495,1731,236
0,1,17,2,1731,1898,167
0,1,8,2,1898,1963,65
0,1,21,1,1963,2131,168
0,1,4,2,2131,2137,6
0,1,53,7,4354,4384,30
0,2,26,1,0,261,261
0,2,25,1,261,474,213
0,2,3,2,474,484,10
0,2,15,1,484,654,170
0,2,26,2,654,807,153
0,2,24,2,807,904,97
0,2,12,1,904,942,38
0,2,19,2,942,1163,221
0,2,16,1,1163,1293,130
0,2,14,2,1293,1405,112
0,2,15,2,1405,1549,144
0,2,29,2,1549,1655,106
0,2,5,2,1655,1723,68
0,2,12,2,1723,1799,76
0,2,22,1,1799,1962,163
0,2,11,1,1962,1983,21
0,2,11,2,1983,2074,91
0,2,39,7,3216,3253,37
0,3,10,1,0,35,35
0,3,24,1,35,234,199
0,3,20,1,234,365,131
0,3,8,1,365,419,54
0,3,18,1,419,598,179
0,3,6,1,598,629,31
0,3,5,1,629,651,22
0,3,4,1,651,663,12
0,3,20,2,663,759,96
0,3,1,1,759,768,9
0,3,1,2,768,784,16
0,3,7,1,784,845,61
0,3,7,2,845,946,101
0,3,25,2,946,1063,117
0,3,14,1,1063,1195,132
0,3,27,1,1195,1356,161
0,3,16,2,1356,1536,180
0,3,13,2,1536,1638,102
0,3,6,2,1638,1693,55
0,3,28,2,1693,1823,130
0,3,22,2,1962,2051,89
0,3,42,7,2051,2097,46
0,3,21,2,2131,2217,86
0,3,41,7,5030,5067,37
0,4,3,3,484,845,361
0,4,1,3,845,1684,839
0,4,9,3,1684,1876,192
0,4,13,3,1876,2090,214
0,4,2,3,2090,2475,385
0,4,7,3,2475,2550,75
0,4,4,3,2550,3305,755
0,4,8,3,3305,3508,203
0,4,10,3,3508,3708,200
0,4,5,3,3708,3802,94
0,4,12,3,3802,3963,161
0,4,6,3,3963,4049,86
0,4,11,3,4049,4173,124
0,4,57,7,4173,4253,80
0,4,3,9,4352,4359,7
0,4,9,9,5843,5869,26
0,4,1,9,7384,7387,3
0,4,7,9,9055,9106,51
